PacketType, SequenceNumber, listener,SrcNodeId, SNR, SignalPower,NoisePower,PacketSize,ChannelFreqMhz,MpduRefNumber,StaId
UDP,0,29,34,8.06534,-69.1694,-77.2347,88,2412,32767,65535
UDP,0,1,34,9.22709,-69.7029,-78.93,88,2412,32767,65535
UDP,0,49,34,6.98971,-70.0594,-77.0491,88,2412,32767,65535
UDP,0,34,34,4.45895,-74.1609,-78.6199,88,2412,32767,65535
UDP,0,12,34,2.00927,-74.382,-76.3913,88,2412,32767,65535
UDP,0,25,34,4.57128,-75.3808,-79.952,88,2412,32767,65535
UDP,0,26,34,-1.07517,-76.0851,-75.01,88,2412,32767,65535
UDP,0,32,34,-2.80458,-77.3943,-74.5897,88,2412,32767,65535
UDP,0,3,34,-2.53717,-77.9686,-75.4315,88,2412,32767,65535
UDP,0,17,34,-3.66527,-78.1273,-74.462,88,2412,32767,65535
UDP,0,19,34,-2.97734,-79.0671,-76.0898,88,2412,32767,65535
UDP,0,23,34,0.340154,-79.6473,-79.9875,88,2412,32767,65535
UDP,0,15,34,1.43505,-79.7083,-81.1433,88,2412,32767,65535
UDP,0,44,34,-5.56247,-79.7389,-74.1764,88,2412,32767,65535
UDP,0,11,34,-4.67859,-79.8342,-75.1556,88,2412,32767,65535
UDP,0,10,34,-4.46724,-79.8856,-75.4184,88,2412,32767,65535
UDP,0,30,34,-2.46239,-79.9896,-77.5273,88,2412,32767,65535
UDP,0,14,34,0.488022,-80.0863,-80.5743,88,2412,32767,65535
UDP,0,46,34,-5.29102,-80.5661,-75.2751,88,2412,32767,65535
UDP,0,6,34,-3.56817,-80.9238,-77.3556,88,2412,32767,65535
UDP,0,24,34,-6.20364,-81.0766,-74.873,88,2412,32767,65535
UDP,0,2,34,-5.46253,-81.1171,-75.6546,88,2412,32767,65535
UDP,0,41,9,7.18039,-69.5804,-76.7607,88,2412,32767,65535
UDP,0,35,9,5.44921,-71.2806,-76.7298,88,2412,32767,65535
UDP,0,28,9,1.02192,-75.3444,-76.3663,88,2412,32767,65535
UDP,0,50,19,11.482,-66.7757,-78.2577,88,2412,32767,65535
UDP,0,39,48,8.34405,-69.1712,-77.5153,88,2412,32767,65535
UDP,0,21,19,-1.19878,-73.047,-71.8482,88,2412,32767,65535
UDP,0,10,4,12.5093,-66.6711,-79.1804,88,2412,32767,65535
UDP,0,12,4,7.46117,-68.8285,-76.2896,88,2412,32767,65535
UDP,0,24,4,9.03339,-70.6561,-79.6895,88,2412,32767,65535
UDP,0,7,7,13.552,-67.0731,-80.6251,88,2412,32767,65535
UDP,0,13,7,10.644,-68.8428,-79.4868,88,2412,32767,65535
UDP,0,5,7,6.83243,-74.2415,-81.0739,88,2412,32767,65535
UDP,0,14,24,10.5066,-63.6076,-74.1142,88,2412,32767,65535
UDP,0,38,24,6.08305,-73.1701,-79.2531,88,2412,32767,65535
UDP,0,1,26,13.6524,-69.8251,-83.4775,88,2412,32767,65535
UDP,0,13,6,10.5684,-69.5256,-80.094,88,2412,32767,65535
UDP,0,7,6,7.6059,-72.0129,-79.6188,88,2412,32767,65535
UDP,0,9,6,6.86526,-73.7417,-80.607,88,2412,32767,65535
UDP,0,6,6,4.64329,-74.2415,-78.8848,88,2412,32767,65535
UDP,0,21,6,2.38198,-76.4567,-78.8386,88,2412,32767,65535
UDP,0,17,45,12.0124,-64.9635,-76.9759,88,2412,32767,65535
UDP,0,19,12,10.8311,-66.2033,-77.0344,88,2412,32767,65535
UDP,0,2,45,10.739,-69.0201,-79.7591,88,2412,32767,65535
UDP,0,37,45,9.85204,-69.2996,-79.1517,88,2412,32767,65535
UDP,0,10,45,6.84285,-73.131,-79.9738,88,2412,32767,65535
UDP,0,22,5,9.73298,-73.2032,-82.9361,88,2412,32767,65535
UDP,0,39,45,5.04497,-73.2534,-78.2984,88,2412,32767,65535
UDP,0,16,5,9.00101,-73.9669,-82.9679,88,2412,32767,65535
UDP,0,3,45,5.08455,-74.3937,-79.4782,88,2412,32767,65535
UDP,0,42,5,8.61249,-74.8547,-83.4672,88,2412,32767,65535
UDP,0,24,45,5.24465,-75.4408,-80.6854,88,2412,32767,65535
UDP,0,43,5,5.63574,-77.3315,-82.9672,88,2412,32767,65535
UDP,0,38,5,4.31279,-77.3927,-81.7055,88,2412,32767,65535
UDP,0,6,8,8.18824,-67.0731,-75.2614,88,2412,32767,65535
UDP,0,21,8,7.0538,-69.4223,-76.4761,88,2412,32767,65535
UDP,0,13,8,6.12295,-69.7979,-75.9208,88,2412,32767,65535
UDP,0,5,8,5.24776,-72.0129,-77.2606,88,2412,32767,65535
UDP,0,9,8,-1.06094,-76.5528,-75.4919,88,2412,32767,65535
UDP,0,22,17,21.6815,-52.871,-74.5525,88,2412,32767,65535
UDP,0,49,30,14.8213,-53.6466,-68.4679,88,2412,32767,65535
UDP,0,41,36,13.8568,-59.9677,-73.8246,88,2412,32767,65535
UDP,0,24,11,4.58298,-64.5725,-69.1555,88,2412,32767,65535
UDP,0,42,17,9.5789,-65.0096,-74.5885,88,2412,32767,65535
UDP,0,43,17,5.29896,-67.4659,-72.7648,88,2412,32767,65535
UDP,0,27,49,6.19757,-69.429,-75.6266,88,2412,32767,65535
UDP,0,40,16,3.68848,-72.0482,-75.7366,88,2412,32767,65535
UDP,0,6,14,5.23993,-68.8428,-74.0827,88,2412,32767,65535
